path,type,lines,purpose,exports,dependencies,risks
"frontend/src/App.tsx","code",238,"Main React app with routing: character wizard, character list, character sheet, spells, classes, items, auth pages.","App","react-router-dom, AuthContext, UserContext, all pages",""
"frontend/src/main.tsx","code",53,"React app entrypoint with providers: Router, QueryClient, Helmet, Toast, Auth/User contexts.","","react, react-dom, react-router-dom, react-query, contexts",""
"frontend/src/components/CharacterGeneratorWizard.tsx","code",2114,"Main character creation wizard orchestrator: 6-step flow (info, abilities, class, origin, equipment, review) with state management.","CharacterGeneratorWizard","characterBuilderStore, wizard-steps, API services","Very large file (2100+ lines); complex state coordination"
"frontend/src/components/CharacterSheet.tsx","code",1002,"Complete character sheet display with tabs: stats, spells, inventory, proficiencies, combat with live updates.","CharacterSheet","all character sections, hooks, characterApi","Large file; complex state management"
"frontend/src/components/Navigation.tsx","code",584,"Main app navigation bar with mobile menu, auth state, character quick-access, theme toggle.","Navigation","react-router, AuthContext, styled-components",""
"frontend/src/components/wizard-steps/Step0_CharacterInfo.tsx","code",266,"Wizard step 0: character name, portrait, basic info entry with validation.","Step0_CharacterInfo","characterBuilderStore",""
"frontend/src/components/wizard-steps/Step1_AbilityScores.tsx","code",573,"Wizard step 1: ability score assignment (standard array, point buy, roll) with preview and species/class bonuses.","Step1_AbilityScores","characterBuilderStore, AbilityScoreMethodModal","Complex ability score calculation logic"
"frontend/src/components/wizard-steps/Step2_ClassSelection.tsx","code",1512,"Wizard step 2: class selection with subclass, fighting style, spell choices, class features using choice system.","Step2_ClassSelection","characterBuilderStore, classService, classChoiceService, SpellSelectionWizard","Very large file; complex choice handling"
"frontend/src/components/wizard-steps/Step3A_BackgroundSelection.tsx","code",428,"Wizard step 3A: background selection with skill proficiencies and custom background builder.","Step3A_BackgroundSelection","characterBuilderStore, backgroundService",""
"frontend/src/components/wizard-steps/Step3B_SpeciesSelection.tsx","code",503,"Wizard step 3B: species/race selection with trait preview and ability score increases.","Step3B_SpeciesSelection","characterBuilderStore, speciesService",""
"frontend/src/components/wizard-steps/Step3C_SpeciesChoices.tsx","code",543,"Wizard step 3C: species-specific choices (languages, tool proficiencies, skill variants).","Step3C_SpeciesChoices","characterBuilderStore, species data","Complex conditional logic per species"
"frontend/src/components/wizard-steps/Step3D_OriginFeats.tsx","code",616,"Wizard step 3D: origin feat selection with prerequisite checking and ability score increases.","Step3D_OriginFeats","characterBuilderStore, featService","Prerequisite validation complex"
"frontend/src/components/wizard-steps/Step3E_FeatChoices.tsx","code",628,"Wizard step 3E: feat choice features from selected feats (skill selections, spell learning, etc.).","Step3E_FeatChoices","characterBuilderStore, simpleFeatureGenerator",""
"frontend/src/components/wizard-steps/Step4_EquipmentSelection.tsx","code",924,"Wizard step 4: starting equipment selection with class-specific choices and inventory management.","Step4_EquipmentSelection","characterBuilderStore, equipmentService, deriveEquipment","Complex equipment option parsing"
"frontend/src/components/wizard-steps/Step5_ReviewCreate.tsx","code",941,"Wizard step 5: final review of all selections, character creation API call, navigation to character sheet.","Step5_ReviewCreate","characterBuilderStore, characterApi, builderDataMapper","Data transformation to API format critical"
"frontend/src/components/wizard-steps/SpellSelectionWizard.tsx","code",641,"Two-step spell wizard: spellbook selection (Wizard) and prepared spell selection with slot tracking.","SpellSelectionWizard","SpellWizardContext, spellService, manaRules, deriveGrantedSpells","Complex spell rules per class"
"frontend/src/components/spells/CompactSpellList.tsx","code",289,"Compact spell list with filters, search, level grouping for spell selection interfaces.","CompactSpellList","spellService, SpellCard",""
"frontend/src/components/spells/PreparedSpellsSection.tsx","code",354,"Prepared spell management for character sheet with spell slot tracking and spell preparation.","PreparedSpellsSection","spellUtils, manaRules",""
"frontend/src/components/spells/SpellDetailModal.tsx","code",397,"Full spell detail modal with components, duration, range, damage, conditions, upcast info.","SpellDetailModal","dndTemplateParser, styled-components","Must parse DnD template tags"
"frontend/src/components/ClassSelectionModal.tsx","code",1160,"Class selection modal with filters, detail preview, subclass info for character creation.","ClassSelectionModal","classService, ClassModal","Large modal component"
"frontend/src/components/CharacterHeader.tsx","code",405,"Character sheet header with name, level, class, species, HP, AC, initiative display.","CharacterHeader","characterSheet types",""
"frontend/src/components/CharacterActionsSection.tsx","code",511,"Character action management: attacks, spells, special abilities with damage rolls and usage tracking.","CharacterActionsSection","weaponCalculator, useActionsManagement",""
"frontend/src/components/CharacterSkillsSection.tsx","code",362,"Skill proficiency display with ability modifiers, proficiency bonuses, advantage/disadvantage.","CharacterSkillsSection","useSkillsManagement",""
"frontend/src/components/CharacterTraitsSection.tsx","code",543,"Character traits, features, racial abilities display with structured parsing.","CharacterTraitsSection","StructuredFeaturesDisplay, useTraitsManagement","Must parse DnD template tags"
"frontend/src/components/ConsolidatedInventorySection.tsx","code",818,"Full inventory management: equipment, weapons, armor, items with weight, attunement, quantities.","ConsolidatedInventorySection","useInventoryManagement, equipmentValidator","Complex inventory state"
"frontend/src/components/StructuredFeaturesDisplay.tsx","code",490,"Renders structured D&D features with entries, lists, tables, options using template parser.","StructuredFeaturesDisplay","dndTemplateParser, featureTemplateRenderer","CRITICAL: Must use dndTemplateParser for all text"
"frontend/src/components/FeatSelectionModal.tsx","code",719,"Feat selection modal with prerequisite checking, filters, ability score options.","FeatSelectionModal","featService, dndTemplateParser","Prerequisite logic complex"
"frontend/src/services/api.ts","code",39,"Base Axios API client with interceptors for auth tokens, error handling, base URL configuration.","api","axios, session","Token refresh logic needed"
"frontend/src/services/authService.ts","code",78,"Authentication service: login, register, logout, refresh token, profile management API calls.","authService","api, session",""
"frontend/src/services/characterService.ts","code",138,"Character CRUD service: create, get, update, delete characters with API integration.","characterService","api",""
"frontend/src/services/characterApi.ts","code",127,"Character API client with typed responses for character operations.","characterApi","api, characterSheet types",""
"frontend/src/services/characterCalculations.ts","code",289,"Character stat calculations: AC, initiative, HP, proficiency bonus, ability modifiers, saving throws.","calculateAC, calculateInitiative, calculateHP, etc.","characterSheet types","Complex calculation logic"
"frontend/src/services/spellService.ts","code",143,"Spell API service: search, filter, get spells by class/level with caching.","spellService","api, spell types",""
"frontend/src/services/classService.ts","code",192,"Class API service: get classes, class details, features, subclasses with caching.","classService","api, class types",""
"frontend/src/services/classChoiceService.ts","code",89,"Class choice API service: fetch fighting styles, invocations, metamagic, divine orders.","classChoiceService","api",""
"frontend/src/services/speciesService.ts","code",104,"Species/race API service: get species, species details, traits.","speciesService","api",""
"frontend/src/services/backgroundService.ts","code",67,"Background API service: get backgrounds, background details.","backgroundService","api",""
"frontend/src/services/featService.ts","code",92,"Feat API service: get feats, filter by type, check prerequisites.","featService","api",""
"frontend/src/services/itemService.ts","code",119,"Item/equipment API service: search items, filter by type/rarity.","itemService","api",""
"frontend/src/services/equipmentService.ts","code",74,"Equipment utility service for inventory management and equipment operations.","equipmentService","",""
"frontend/src/store/characterBuilderStore.ts","code",812,"Zustand global state store for character creation wizard: all steps, selections, validation, reset.","useCharacterBuilderStore","zustand, immer","Large complex state; synchronization critical"
"frontend/src/hooks/useApiCall.ts","code",66,"Generic hook for API calls with loading, error states, and retry logic.","useApiCall","react",""
"frontend/src/hooks/useCharacterAutosave.ts","code",48,"Debounced autosave hook for character sheet changes with API integration.","useCharacterAutosave","useDebouncedCallback, characterApi","Race conditions possible"
"frontend/src/hooks/useDebouncedCallback.ts","code",27,"Hook for debouncing callback functions with cleanup.","useDebouncedCallback","react",""
"frontend/src/hooks/useDerivedValues.ts","code",74,"Hook to compute derived character stats: modifiers, saves, proficiency bonus from character data.","useDerivedValues","characterCalculations",""
"frontend/src/hooks/useBodyScrollLock.ts","code",23,"Hook to lock/unlock body scroll for modals with cleanup.","useBodyScrollLock","react","Modal scroll fix critical"
"frontend/src/hooks/useFocusTrap.ts","code",20,"Hook to trap focus within modals for accessibility.","useFocusTrap","focusManagement",""
"frontend/src/hooks/useSpellFiltering.ts","code",129,"Hook for spell filtering by level, school, class, search with state management.","useSpellFiltering","react",""
"frontend/src/hooks/characterSheet/useInventoryManagement.ts","code",642,"Hook for character sheet inventory: add, remove, equip, attune items with validation.","useInventoryManagement","equipmentValidator","Complex inventory logic"
"frontend/src/hooks/characterSheet/useActionsManagement.ts","code",64,"Hook for managing character actions: attacks, spells, abilities.","useActionsManagement","",""
"frontend/src/hooks/characterSheet/useSelectionModals.ts","code",322,"Hook managing all character sheet modal states: background, species, feat, class selections.","useSelectionModals","","Many modal states to coordinate"
"frontend/src/hooks/characterSheet/useResourceTracking.ts","code",59,"Hook for tracking character resources: HP, spell slots, class features, rest mechanics.","useResourceTracking","",""
"frontend/src/utils/dndTemplateParser.ts","code",304,"CRITICAL: Parses D&D template tags like {@spell Fireball|XPHB}, {@condition Charmed} to plain text or links.","parseDnDTemplateTag, parseComplexDnDEntry","","MUST use on all DB content; often forgotten"
"frontend/src/utils/simpleFeatureGenerator.ts","code",1850,"Generates character features from feats, class, species with template parsing and choice extraction.","generateFeatFeatures, generateClassFeatures, generateSpeciesFeatures","dndTemplateParser, featureParser","Very large; complex logic; MUST parse templates"
"frontend/src/utils/featureParser.ts","code",580,"Parses D&D feature entries: lists, tables, options, nested structures.","parseFeatureEntries, extractChoices","","Complex nested parsing"
"frontend/src/utils/featureTemplateRenderer.ts","code",449,"Renders parsed features to React components with proper formatting.","renderFeatureTemplate","dndTemplateParser",""
"frontend/src/utils/characterDataMapper.ts","code",731,"Maps API character data to frontend character sheet format with stat calculations.","mapApiCharacterToSheet","characterCalculations, simpleFeatureGenerator","Large transformation logic"
"frontend/src/utils/builderDataMapper.ts","code",192,"Maps wizard builder state to API character create/update format.","mapBuilderDataToApiCharacter","characterBuilderStore types","Data transformation critical"
"frontend/src/utils/classChoiceDetection.ts","code",499,"Detects class choices from feature entries: fighting styles, spell selections, metamagic, etc.","detectClassChoices","","Complex pattern matching"
"frontend/src/utils/externalChoiceLoader.ts","code",314,"Loads external choice data (fighting styles, invocations) from API and JSON files.","loadExternalChoices","classChoiceService",""
"frontend/src/utils/equipmentValidator.ts","code",307,"Validates equipment: attunement limits, armor proficiency, weapon proficiency, encumbrance.","validateEquipment, checkAttunement, checkProficiency","",""
"frontend/src/utils/weaponCalculator.ts","code",242,"Calculates weapon attack/damage bonuses with ability modifiers, proficiency, magic bonuses, finesse.","calculateWeaponStats","",""
"frontend/src/utils/resourceDetection.ts","code",167,"Detects trackable resources from class features (Ki, Rage, Sorcery Points, etc.).","detectResourcesFromFeatures","",""
"frontend/src/utils/spellUtils.ts","code",61,"Spell utility functions: check prepared status, filter by class, format spell components.","isSpellPrepared, filterSpellsByClass","",""
"frontend/src/helpers/spellRules.ts","code",357,"D&D 2024 spell rules engine: prepared spell limits, known spell limits, cantrips by class/level.","getMaxPreparedSpells, getSpellsKnown","spellcastingConfig","Complex class-specific rules"
"frontend/src/helpers/manaRules.ts","code",47,"Nimble TTRPG mana system rules: convert spell slots to mana points.","calculateMaxMana, spellSlotCost","","Homebrew system"
"frontend/src/helpers/deriveGrantedSpells.ts","code",261,"Derives always-prepared spells from class, subclass, species, feats (e.g., Divine Soul, Fey Touched).","deriveGrantedSpells","",""
"frontend/src/helpers/spellcastingConfig.ts","code",369,"Spellcasting configuration per class: ability, progression, rituals, spell selection rules.","SPELLCASTING_CONFIG","",""
"frontend/src/contexts/AuthContext.tsx","code",98,"React context for authentication state: user, login, logout, token management.","AuthContext, AuthProvider, useAuth","authService",""
"frontend/src/contexts/SpellWizardContext.tsx","code",124,"React context for spell selection wizard state: spellbook, prepared spells, cantrips.","SpellWizardContext, SpellWizardProvider","",""
"frontend/src/contexts/ToastContext.tsx","code",87,"React context for toast notifications with auto-dismiss and styling.","ToastContext, ToastProvider, useToast","",""
"frontend/src/pages/CharactersPage.tsx","code",203,"Character list page: displays user's characters, create new, view/edit/delete with auth protection.","CharactersPage","characterService, CharacterCard, Navigation",""
"frontend/src/pages/CharacterViewPage.tsx","code",341,"Character detail view page: displays full character sheet for single character.","CharacterViewPage","CharacterSheet, characterApi, react-router",""
"frontend/src/pages/CharacterSheetTestPage.tsx","code",89,"Test page for character sheet component development and debugging.","CharacterSheetTestPage","CharacterSheet","Test page only"
"frontend/src/pages/CharacterGeneratorPage.tsx","code",126,"Character creation wizard page wrapping CharacterGeneratorWizard component.","CharacterGeneratorPage","CharacterGeneratorWizard",""
"frontend/src/pages/ClassesPage.tsx","code",67,"Class list page: grid of all D&D classes with navigation to details.","ClassesPage","classService, ClassCard",""
"frontend/src/pages/ClassDetailsPage.tsx","code",1772,"Detailed class page: features by level, subclasses, spells, proficiencies with tabbed interface.","ClassDetailsPage","classService, dndTemplateParser","Very large file; must parse templates"
"frontend/src/pages/ClassFullDetailsPage.tsx","code",611,"Alternative class detail view with full feature descriptions and progression tables.","ClassFullDetailsPage","classService",""
"frontend/src/pages/ClassLevelsPage.tsx","code",389,"Class level progression table page showing features gained per level.","ClassLevelsPage","classService",""
"frontend/src/pages/ClassSubclassesPage.tsx","code",445,"Subclass detail page showing subclass-specific features and progression.","ClassSubclassesPage","classService",""
"frontend/src/pages/SpellsPage.tsx","code",498,"Spell database page: searchable, filterable spell list with modal details.","SpellsPage","spellService, SpellList, SpellModal",""
"frontend/src/pages/BackgroundsPage.tsx","code",367,"Background selection page: all backgrounds with proficiencies and features.","BackgroundsPage","backgroundService",""
"frontend/src/pages/FeatsPage.tsx","code",676,"Feat database page: searchable feats with filtering by type and prerequisites.","FeatsPage","featService, dndTemplateParser","Must parse templates"
"frontend/src/pages/SpeciesPage.tsx","code",218,"Species/race list page: all playable species with traits and abilities.","SpeciesPage","speciesService, SpeciesCard",""
"frontend/src/pages/EquipmentPage.tsx","code",797,"Item/equipment database page: searchable items with filters by type, rarity, magic status.","EquipmentPage","itemService",""
"frontend/src/pages/LoginPage.tsx","code",138,"User login page with form validation and auth integration.","LoginPage","AuthContext, react-router",""
"frontend/src/pages/RegisterPage.tsx","code",223,"User registration page with form validation and account creation.","RegisterPage","AuthContext, react-router",""
"frontend/src/pages/SubclassesPage.tsx","code",378,"Subclass list page for a specific class with feature previews.","SubclassesPage","classService",""
"frontend/src/styles/GlobalStyles.tsx","code",108,"Global CSS-in-JS styles: reset, typography, color variables, animations for styled-components.","GlobalStyles","styled-components",""
"frontend/src/styles/authStyles.ts","code",89,"Styled-components for auth pages: login, register forms with D&D theming.","AuthContainer, AuthForm, AuthButton, etc.","styled-components",""
"frontend/src/styles/components/CharacterGeneratorWizard.styles.ts","code",334,"Styled-components for character wizard: steps, navigation, selections, validation.","WizardContainer, StepContent, NavigationButtons, etc.","styled-components",""
"frontend/src/styles/components/CharacterHeader.styles.ts","code",250,"Styled-components for character sheet header: name, level, stats display.","HeaderContainer, StatBlock, HPBar, etc.","styled-components",""
"frontend/src/styles/components/AbilityScores.styles.ts","code",122,"Styled-components for ability score display: score, modifier, saving throws.","AbilityScoreGrid, ScoreBox, ModifierBadge, etc.","styled-components",""
"frontend/src/styles/components/Combat.styles.ts","code",167,"Styled-components for combat section: attacks, damage, AC, initiative.","CombatContainer, AttackRow, DamageDisplay, etc.","styled-components",""
"frontend/src/styles/components/Inventory.styles.ts","code",237,"Styled-components for inventory: item grid, equipment slots, weight tracking.","InventoryGrid, ItemCard, EquipmentSlot, etc.","styled-components",""
"frontend/src/styles/components/Resources.styles.ts","code",300,"Styled-components for resource tracking: HP, spell slots, class features.","ResourceBar, SlotTracker, FeatureCounter, etc.","styled-components",""
"frontend/src/styles/components/Skills.styles.ts","code",63,"Styled-components for skills section: proficiency indicators, modifiers.","SkillsGrid, SkillRow, ProficiencyIcon, etc.","styled-components",""
"frontend/src/styles/components/Traits.styles.ts","code",311,"Styled-components for traits/features display: collapsible sections, descriptions.","TraitsContainer, FeatureCard, FeatureTitle, etc.","styled-components",""
"frontend/src/types/api.ts","code",414,"TypeScript API response types: Character, Spell, Class, Species, Background, Item, Feat with full schema.","ApiCharacter, ApiSpell, ApiClass, ApiSpecies, etc.","","Must stay in sync with backend schema"
"frontend/src/types/characterSheet.ts","code",371,"TypeScript types for character sheet state: abilities, skills, inventory, spells, features.","CharacterSheet, Ability, Skill, InventoryItem, etc.","",""
"frontend/src/types/classFeatures.ts","code",157,"TypeScript types for class features and choices: ClassChoice, FeatureOption, SubclassFeature.","ClassChoice, ClassFeatureChoice, SubclassFeature, etc.","",""
"frontend/src/types/features.ts","code",196,"TypeScript types for D&D features: entries, lists, tables, options, references.","Feature, FeatureEntry, FeatureTable, FeatureOption, etc.","",""
"frontend/src/types/spells.ts","code",54,"TypeScript types for spell data: SpellTime, SpellRange, SpellComponents, SpellDuration.","Spell, SpellTime, SpellRange, SpellComponents, etc.","",""
"frontend/src/constants/characterOptions.ts","code",68,"Constants for character creation: ability score methods, alignments, sizes.","ABILITY_SCORE_METHODS, ALIGNMENTS, SIZES","",""
"frontend/src/constants/startingEquipment.ts","code",112,"Starting equipment options by class for character creation.","STARTING_EQUIPMENT","",""
"frontend/src/config/trackableResources.ts","code",47,"Configuration for trackable class resources: Ki, Rage, Bardic Inspiration, etc.","TRACKABLE_RESOURCES","",""
"frontend/src/data/lookupTables.ts","code",159,"Lookup tables for D&D data: skill to ability mapping, proficiency bonus by level.","SKILL_ABILITY_MAP, PROFICIENCY_BONUS, etc.","",""
